name,mass,radius,period,semi_major_axis,temperature,distance_light_year,host_star_mass,host_star_temperature
HR 8799 c,10,1.2,69000,38,1200,128.51,1.51,7400
HR 8799 d,10,1.2,37000,24,1300,128.51,1.51,7400
HR 8799 e,10,1.17,20815.6,16.4,1150,128.51,1.51,7400
Kapteyn b,0.015,,48.616,0.168,,12.8,0.28,3550
Kapteyn c,0.022,,121.54,0.311,,12.8,0.28,3550
HIP 65891 b,6,,1084.5,2.81,,492,2.5,5000
HD 63454 b,0.25,1.098,2.81805,0.04,,123.06,0.42,4812
HD 4113 b,1.56,,526.62,1.28,,136.73,0.99,5688
HD 1397 b,0.415,1.026,11.53533,0.1097,1228.3,260.121,1.324,5521
HIP 5158 b,1.42,,345.72,0.89,,168.56,0.78,4962
HIP 5158 c,15.04,,9017.76,7.7,,168.56,0.78,4962
HD 173416 b,2.7,,323.6,1.16,,432.76,2,4683
HD 13189 b,10.95,,471.6,1.25,,1646,2.24,4175
HD 8326 b,0.21,,158.991,0.533,,100.2,0.8,4914
HD 73534 b,1.112,,1750,2.99,,272.45,1.16,4917
HD 148164 b,1.23,,328.55,0.993,,252,1.21,6032
HD 148164 c,5.16,,5062,6.15,,252,1.21,6032
HD 65216 b,1.295,,577.6,1.301,,114.68,0.87,5612
WASP-50 b,1.4688,1.166,1.9551,0.0293,1395,606.08,0.89,5400
HD 209458 b,0.73,1.39,3.524749,0.04707,1459,157.8,1.23,6091
WASP-187 b,0.8,1.64,5.147878,0.0653,1726,1224,1.54,6150
Gamma Leonis b,8.78,,428.5,1.19,,125.64,1.23,4330
HD 27894 b,0.665,,18.02,0.125,,143.12,0.8,4894
HD 27894 c,0.162,,36.07,0.198,,138.2,0.8,4875
HD 27894 d,5.415,,5174,5.448,,138.2,0.8,4875
HD 95338 b,0.124,0.355,55.086,0.231,402,120,0.76,5212
HD 129445 b,1.6,,1840,2.9,,220.39,0.99,5605
HD 33283 b,0.329,,18.1991,0.1508,,293.88,1.38,5935
HD 30669 b,0.47,,1684,2.69,,186,0.92,5400
Gliese 221 c,0.17,,125.94,0.435,,66,0.7,4324
HD 181720 b,0.4,,956,1.85,,196.71,1.03,5736
HD 16417 b,0.0696,,17.24,0.14,,82.88,1.2,5841
HD 69830 b,0.0321,,8.667,0.0785,,40.97,0.86,5385
HD 69830 c,0.0371,,31.56,0.186,,40.97,0.86,5385
HD 69830 d,0.057,,197,0.63,,40.97,0.86,5385
HD 23596 b,9.03,,1561,2.77,,169.87,1.47,6040
HD 67087 b,3.06,,352.2,1.08,,289.7,1.36,6330
HD 67087 c,4.85,,2374,3.86,,289.7,1.36,6330
HD 43691 b,2.55,,36.9987,0.238,,279.88,1.32,6093
HD 176986 b,0.0181,,6.4898,0.06296,,86.1,0.79,4931
HD 176986 c,0.02888,,16.8191,0.11878,,86.1,0.79,4931
HD 147018 b,2.12,,44.236,0.2388,,140.12,0.93,5441
HD 147018 c,6.56,,1008,1.922,,140.12,0.93,5441
TOI-1899 b,0.66,1.37,29.02,0.1587,362,419,0.627,3841
TOI-1235 b,0.0217,0.155,3.444729,0.03845,754,129,0.64,3872
HD 136418 b,2.14,,464.3,1.29,,344.07,1.48,4989
HD 98219 b,1.964,,433.8,1.26,,372.06,1.41,4925
HD 155193 b,0.75,,352.65,1.04,,186,1.221,6239
TrES-2b,1.49,1.36,2.47063,0.03563,1466,706.67,1.36,5850
HD 25171 b,0.95,,1845,3.02,,179.3,1.09,6160
HD 109271 b,0.054,,7.8543,0.079,,185.6,1.05,5783
HD 109271 c,0.076,,30.93,0.196,,185.6,1.05,5783
WASP-109 b,0.91,1.443,3.319023,0.0463,1695,1173,1.203,6520
HD 180314 b,20.13,,396.03,1.46,,400.5,2.2,4924
HD 217107 b,1.3,,7.12682,0.08,,65.47,1,5622
HD 217107 c,2.6,,4270,5.32,,65.46,1,5622
HD 153950 b,2.95,,499.4,1.28,,158.26,1.25,6124
HD 204941 b,0.266,,1733,2.55,,93.74,0.58,5026
HD 216520 b,0.032,,35.45,,,63.77,0.82,5103
HD 216520 c,0.03,,154.43,,,63.77,0.82,5103
HD 149026 b,0.38,0.74,2.87589,0.04364,1626,247.98,1.42,6179
HD 96167 b,0.717,,498.04,1.332,,278.91,1.27,5733
HD 101930 b,0.25,,70.46,0.3,,98.01,0.57,5108
HD 13808 b,0.0346,,14.2,0.11,,92.2,0.771,5035
HD 13808 c,0.0315,,53.8,0.26,,92.2,0.771,5035
HD 220197 b,0.2,,1728,2.729,,210,0.91,5683
HD 175607 b,0.026,,29.03,,,147.7,0.71,5392
HD 113337 b,2.83,,324,0.92,,122,1.4,6576.6
HD 142245 b,3.07,,1299,2.78,,318.01,3.5,4922
HD 79181 b,0.64,,273.1,0.9,,337,1.28,4862
Iota Draconis b,8.82,,511.098,1.275,,103.3,1.05,4530
HD 113538 b,0.36,,663.2,1.24,,51.86,0.58,4462
HD 113538 c,0.93,,1818,2.44,,51.86,0.58,4462
HD 102117 b,0.17,,20.8133,0.15,,129.23,1.06,5655
HD 166724 b,3.53,,5144,5.42,,140.2,0.81,5127
HD 89307 b,2.11,,2166,3.27,,104.5,1.27,5955
HD 39855 b,0.027,,3.2498,0.041,,75.93,0.87,5576
TOI-1478 b,0.847,1.061,10.180249,0.0903,918,498,0.946,5595
HD 33142 b,1.385,,326,1.07,,397.27,1.41,4978
HD 33142 c,5.97,,834,,,37.34,1.78,5009
HD 45364 b,0.1872,,226.93,0.6813,,112.17,0.82,5434
HD 45364 c,0.6579,,342.85,0.8972,,112.17,0.82,5434
HD 72490 b,1.768,1.218,858,1.88,,413.5,1.21,4934
TOI-157 b [ja],1.18,1.29,2.084544,0.03138,1588,1171,0.948,5404
BD-10 3166 b,0.59,,3.48777,0.04,,275.97,1.47,5393
HD 80653 b,0.0176,0.1439,0.719573,0.0166,,358.1197,1.18,
TAP 26 b,1.66,,10.79,0.0968,,480,1.04,4620
HD 219134 b,0.01491,0.143,3.092926,0.03876,,21.4,0.81,4699
HD 219134 c,0.01372,0.135,6.76458,0.0653,,21.4,0.81,4699
HD 219134 f,0.02297,0.117,22.717,0.1463,,21.4,0.81,4699
HD 219134 d,0.05088,0.144,46.859,0.237,,21.4,0.81,4699
HD 219134 g,0.034,,94.2,0.3753,,21.4,0.81,4699
HD 219134 h,0.34,,2247,3.11,,21.4,0.81,4699
HD 205739 b,1.37,,279.8,0.896,,302.49,1.22,6176
HD 219666 b,0.0522,0.42,6.03607,0.06356,1073,307.98,1.03,5527
HD 137388 b,0.2,,330,0.89,,132.2,0.68,5181
HD 102195 b,0.41,,4.11377,0.05,,95.76,0.76,5301
HD 112640 b,5,,613.2,1.7,,1065,1.8,4155
TOI-519 b,14,0.75,1.265233,0.012,760,378,0.369,3350
HD 23079 b,2.61,,730.6,1.6,,109.23,1.12,5974
HD 20794 e,0.015,,147.02,0.509,,19.8,0.7,5401
HD 162020 b,9.84,,8.4282,0.08,,100.62,0.42,4723
HD 31253 b,0.62,,466,1.26,,189.96,1.7,6130
HD 43197 b,0.6,,327.8,0.92,,183.63,0.96,5508
HD 103891 b,1.44,,1919,3.27,,179,1.28,6072
HIP 105854 b,8.2,,184.2,0.81,,276,2.1,4780
HD 171028 b,2.62,,550,1.32,,365.34,1.53,5671
HD 1605 b,0.96,,577.9,1.48,,276,1.31,4757
HD 1605 c,3.48,,2111,3.52,,276,1.31,4757
Ross 128 b,0.0044,,9.8658,0.0496,301,11.03,0.17,3192
HD 40307 b,0.0126,,4.3123,0.0468,910,42.21,0.77,4956
HD 40307 c,0.0208,,9.6184,0.0799,696,42.21,0.77,4956
HD 40307 d,0.0299,,20.432,0.1321,541,42.21,0.77,4956
HD 40307 e,0.011,,34.62,0.1886,,41.8,0.77,4956
HD 40307 f,0.0164,,51.76,0.247,,41.8,0.77,4956
HD 40307 g,0.0223,,197.8,0.6,,41.8,0.77,4956
HD 45184 b,0.0384,,5.8854,0.0644,,71.36,1.03,5869
HD 45184 c,0.0277,,13.1354,0.11,,71.36,1.03,5869
HD 11506 b,4.83,,1622.1,2.9,,167.45,1.24,6030
HD 11506 c,0.408,,223.41,0.774,,167.4,1.12,5833
HD 214823 b [id],19.2,,1877,3.18,,317.9,1.22,6215
HD 219139 b,0.78,,275.5,0.94,,345,1.46,4831
HD 221287 b,3.09,,456.1,1.25,,182.69,1.25,6304
HD 45652 b,0.433,,44.073,0.237,,113.8,0.92,5294
TOI-712 b,0.0176,0.183,9.531361,0.07928,650,191.2,0.732,4622
TOI-712 c,0.0274,0.241,51.69906,0.2447,369.9,191.2,0.732,4622
TOI-712 d,0.0236,0.221,84.8396,0.3405,313.6,191.2,0.732,4622
HD 107148 c,0.0626,,18.3267,0.1406,,161.4,1.1,5789
HD 107148 b,0.21,,48.056,0.269,,161.42,1.12,5797
HD 22781 b,13.65,,528.07,1.167,,106.43,0.75,5027
HD 147379 b,0.0777,,86.54,0.3193,,35.01,0.58,4090
HD 1502 b,2.75,,428.5,1.262,,626.11,1.46,4947
HD 175541 b,0.598,,298.43,0.975,,424.28,1.39,5013
HD 99109 b,0.44,,439.3,1.11,,179,0.76,5282
HD 86226 b,0.92,,1695,2.84,,149.19,1.06,5903
HD 86226 c,0.023,0.193,3.98442,0.049,1311,149,1.019,5863
HD 125595 b,0.02,,9.6737,0.08,,92.04,0.29,4691
Oph 11 b,14,,7300000,243,2175,407.71,0.02,2375
HD 221585 b [id],1.61,,1173,2.306,,174.8,1.19,5620
TOI-1130 c,0.974,1.5,8.350381,0.07098,637,190,0.684,4250
Gliese 163 b,0.03335,,8.63182,0.0607,,48.8,0.4,3500
Gliese 163 c,0.0214,,25.63058,0.1254,,48.8,0.4,3500
Gliese 163 d,0.0925,,603.95116,1.0304,,48.8,0.4,3500
TOI-2202 b,0.927,1.01,11.9108,0.0956,,770,0.823,5144
TOI-2202 c,0.191,,24.7545,0.1558,,770,0.823,5144
HD 108341 b,3.5,,1129,2,,161,0.84,5122
HIP 71135 b,0.0592,,87.19,0.335,,105.5,0.66,4146
HD 88133 b,1.02,,3.414884,0.0479,,240.61,1.26,5392
HD 102329 b,8.16,,778.1,1.81,,712.41,3.21,4745
HD 102329 c,1.52,,1123,,,66.97,3.21,4745
HD 161178 b,0.57,,279.3,0.85,,351,1.06,4786
HIP 91258 b [fr],1.068,,5.0505,0.057,,145,0.95,5519
LTT 9779 b [it],0.092,0.421,0.792054,0.01679,2000,262.8,1.02,5499
HD 95127 b,5.01,,482,1.28,,1080,1.2,4218
HD 14067 b,7.8,,1455,3.4,,533,2.4,4815
HD 102365 b,0.05,,122.1,0.46,,30.3,0.85,5630
HD 216770 b,0.57,,118.45,0.46,,119.7,0.74,5399
HD 12648 b,2.9,,133.6,0.54,,517,1.2,4835.8
HD 134060 b,0.0318,,3.2696,0.0444,,78.38,1.095,5966
HD 134060 c,0.0922,,1292,2.226,,78.38,1.095,5966
HD 149143 b,1.33,,4.07182,0.053,,239.5,1.2,5856
HD 85390 b,0.099,,799.52,1.373,,109.46,0.76,5186
HD 5891 b,7.63,,177.11,0.64,,932.02,1.93,4673
HD 111591 b,4.4,,1056.4,2.5,,352,1.94,4884
HD 100655 b,1.61,,157.57001,0.68,,449.2,2.28,4891
HD 97658 b,0.03,0.21,9.4909,0.0796,757,70.39,0.89,5175
HIP 70849 b,9,,17337.5,20.25,,78.51,0.63,4105
HD 37124 b,0.675,,154.378,0.53364,,103.36,0.85,5492
HD 37124 c,0.652,,885.5,1.71,,103.36,0.85,5492
HD 37124 d,0.696,,1862,2.807,,103.36,0.85,5492
HIP 107773 b,1.98,,144.3,0.72,,344,2.42,4945
HD 155233 b,2.6,,818.8,2,,245,1.69,4960
